"Protein","x"
"Q6YXT5","osa01100 osa00053"
"Q6YY64","osa03010"
"Q6YYR2","osa03010"
"Q6YYV1","osa03013 osa03018 osa03015"
"Q6YZ54","osa03420 osa03030 osa03430"
"Q6YZ75","osa01100 osa00280"
"Q6YZE2","osa01100 osa01110 osa00860"
"Q6YZH8","osa01100 osa01110 osa01230 osa01210 osa00770 osa00290"
"Q6YZX5","osa01100 osa01110 osa00230"
"Q6Z050","osa03013 osa03018 osa03015"
"Q6Z0P6","osa03040"
"Q6Z1Y6","osa01100 osa00380"
"Q6Z3Y9","osa01100 osa00562 osa04070 osa04933"
"Q6Z4A7","osa01100 osa00920"
"Q6Z4E4","osa01100 osa01200 osa00280 osa00410 osa00562 osa00640"
"Q6Z4T7","osa04144"
"Q6Z5N4","osa01100 osa01110 osa01200 osa00010 osa00620 osa00020"
"Q6Z695","osa00970"
"Q6Z6A0","osa03010"
"Q6Z702","osa01100 osa01110 osa01230 osa01210 osa00290 osa00966 osa00660"
"Q6Z730","osa03013"
"Q6Z744","osa01100 osa00240 osa00410 osa00770"
"Q6Z7B0","osa04141 osa03060"
"Q6Z7C0","osa01100 osa01110 osa00561 osa00564"
"Q6Z7L1","osa03018"
"Q6Z8E0","osa03010"
"Q6Z8F4","osa01100 osa01200 osa00710"
"Q6Z8K7","osa01100 osa00190 osa00195"
"Q6Z8Z7","osa01110 osa00592"
"Q6Z965","osa01100 osa01110 osa00592"
"Q6Z9G0","osa01100 osa01200 osa00010 osa00030"
"Q6ZC69","osa01100 osa01110 osa00230 osa00730"
"Q6ZD96","osa03010"
"Q6ZDX3","osa01100 osa01110 osa00071 osa00280 osa01212"
"Q6ZDY8","osa01100 osa01110 osa01200 osa00190 osa00020"
"Q6ZF30","osa01100 osa00196"
"Q6ZFI6","osa01100 osa01110 osa01200 osa00630 osa04146 osa00260 osa00250"
"Q6ZFJ3","osa01100 osa00195"
"Q6ZFJ9","osa03018"
"Q6ZFU6","osa00450"
"Q6ZFX8","osa04141"
"Q6ZG25","osa04141 osa04145 osa03060"
"Q6ZG77","osa01100 osa01110 osa01230 osa00300"
"Q6ZGJ8","osa00190"
"Q6ZGS9","osa01100 osa01110 osa01230 osa01210 osa00220"
"Q6ZGV5","osa03010"
"Q6ZH90","osa03013 osa03015"
"Q6ZHC3","osa00970"
"Q6ZHZ1","osa01100 osa01110 osa00500"
"Q6ZI53","osa04626"
"Q6ZIA1","osa03010"
"Q6ZIQ1","osa03015"
"Q6ZJ19","osa01100 osa00190"
"Q6ZJJ1","osa01100 osa00480 osa00053"
"Q6ZK21","osa03060"
"Q6ZKI0","osa01100 osa01110 osa00130"
"Q6ZKK5","osa01100 osa01110 osa00230 osa00670"
"Q6ZKZ4","osa04144"
"Q6ZL94","osa01100 osa01110 osa01200 osa00020 osa00640"
"Q6ZLM6","osa04141 osa03013"
"Q70G58","osa00450"
"Q75G91","osa03010"
"Q75GI3","osa04145"
"Q75GR6","osa03010"
"Q75I94","osa01100 osa01110 osa00500 osa00940 osa00460"
"Q75IA5","osa03010"
"Q75II5","osa00790"
"Q75II7","osa01100 osa01110 osa00500"
"Q75IJ1","osa04144 osa04145"
"Q75IZ9","osa01100 osa01110 osa01200 osa00480 osa00030"
"Q75J18","osa03010"
"Q75KD7","osa01100 osa01110 osa00592"
"Q75L45","osa04626"
"Q75LB3","osa01100 osa04146 osa00071 osa01212 osa00061"
"Q75LJ7","osa03040"
"Q75M19","osa03013"
"Q762A6","osa03010"
"Q7DNB0","osa01100 osa00190 osa00195"
"Q7F190","osa01100 osa01200 osa00710 osa00620"
"Q7F1U0","osa01100 osa01110 osa00940"
"Q7F225","osa03010"
"Q7F280","osa01100 osa01110 osa01200 osa01230 osa00480 osa00020 osa04146 osa01210"
"Q7F2L6","osa01100 osa00195"
"Q7F2L7","osa01100 osa00195"
"Q7F8R1","osa01100 osa01110 osa01200 osa01230 osa00630 osa00020 osa01210"
"Q7FAG9","osa03015"
"Q7FAH2","osa01100 osa01110 osa01200 osa01230 osa00010 osa00710"
"Q7FAL6","osa01100 osa01110 osa00900"
"Q7FAM9","osa01100 osa00190 osa04145"
"Q7FAT9","osa01100 osa01110 osa01200 osa00710 osa00620 osa00630 osa00020 osa00270"
"Q7FAX1","osa00073"
"Q7FAY6","osa01100 osa00520"
"Q7G3Y4","osa01100 osa00190"
"Q7GCH3","osa03050"
"Q7X5X9","osa03050"
"Q7X752","osa03010"
"Q7X7H3","osa01100 osa01110 osa01200 osa00630"
"Q7X7I6","osa01100 osa01110 osa01200 osa00480 osa00030"
"Q7X8A1","osa01100 osa01200 osa00710"
"Q7X8W6","osa01110 osa00902"
"Q7XAP2","osa01100 osa00480 osa00270 osa00330"
"Q7XBT1","osa01100 osa00190"
"Q7XBW1","osa01100 osa00190"
"Q7XBY6","osa04016 osa04075"
"Q7XC31","osa03010"
"Q7XC37","osa01100 osa01110 osa00230 osa04016 osa00240"
"Q7XCK0","osa01100 osa00480"
"Q7XDE0","osa03015"
"Q7XDP6","osa03040"
"Q7XEQ3","osa03010"
"Q7XI13","osa03040"
"Q7XIE2","osa04130"
"Q7XIK5","osa03010"
"Q7XIV4","osa01100 osa00561 osa00052 osa00600 osa00603"
"Q7XJ02","osa01100 osa00480 osa00053"
"Q7XKB5","osa01100 osa01110 osa01200 osa01230 osa00010 osa00620 osa00230"
"Q7XLG5","osa00970"
"Q7XMI6","osa03013"
"Q7XMI8","osa01100 osa01110 osa01212 osa00061 osa00780"
"Q7XMP7","osa01100 osa01110 osa00250 osa00460"
"Q7XN11","osa01100 osa00250 osa00650"
"Q7XNX6","osa01100 osa01110 osa00500"
"Q7XPL2","osa01100 osa01110 osa00860"
"Q7XPR2","osa01100 osa01110 osa01200 osa00630 osa00260 osa00670"
"Q7XPV4","osa01100 osa00630"
"Q7XPW5","osa01100 osa01110 osa00520 osa00051"
"Q7XPY2","osa01100 osa00190"
"Q7XR19","osa03010"
"Q7XR61","osa01100 osa00270"
"Q7XSU8","osa01100 osa01110 osa00940"
"Q7XSW7","osa01110 osa00564"
"Q7XTJ3","osa01100 osa01110 osa01200 osa00010 osa00620 osa00020"
"Q7XUK6","osa01100 osa01110 osa00740"
"Q7XUX4","osa03060"
"Q7XV11","osa01100 osa00196"
"Q7XV18","osa01100 osa01110 osa00250 osa00410 osa00650 osa00430"
"Q7XV86","osa04141 osa04145"
"Q7XVK0","osa01110 osa00592"
"Q7XVM2","osa01100 osa01110 osa01200 osa00020 osa00380 osa00310"
"Q7XXS0","osa01100 osa00190"
"Q7XXS4","osa01100 osa00730"
"Q7XZG9","osa03040"
"Q7XZW5","osa01100 osa01110 osa01200 osa00710 osa00620 osa00630 osa00020 osa00270"
"Q7Y1I5","osa03010"
"Q7Y1V2","osa03013"
"Q84LK3","osa01100 osa00260"
"Q84M34","osa01100 osa00190"
"Q84M87","osa03013 osa03008"
"Q84MQ4","osa03010"
"Q84NW1","osa01100 osa00190 osa00195"
