Uniprot,Means.2Moderate,Means.3Extreme,Means.4Recovery,Means.5ControlA
Q6Z229,0.000372096,-0.027308006,-0.011447263,-0.016926216
Q6Z9R9,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q6Z8P2,-0.000848977,0.112957168,-0.008368192,-0.015753357
Q0J3L4,0.00403616,-0.00187431,-0.003421827,-0.020289491
Q7EZK2,0.017348985,-0.006197349,-0.00341095,0.052317229
Q6Z1N4,0.024372817,0.138387522,0.034044278,0.02656745
Q6Z0Q4,0.054947882,0.092830321,0.010826286,0.062118978
Q6YWF9,0.024966549,0.051829102,0.008917653,0.024695672
Q6YSB2,-0.012865924,0.094878897,-0.032473662,-0.011968093
Q0IMS5,-0.00010524,0.030057299,-0.000778601,-0.006176152
Q5VRC9,-0.062197619,-0.021663243,-0.057650612,0.035484475
Q6YZD3,-0.000965447,0.006828055,-0.013923512,0.019562768
E9KIQ3,0.065503919,0.057519987,0.024070875,-0.128458925
E9KIT5,0.01695207,-0.043183593,0.009059786,-0.032566512
Q5VND6,-0.018234078,0.005176239,0.034888939,0.015315321
Q6Z670,-0.004420971,-0.048912549,-0.01596185,0.050981322
Q6ZGV6,-0.058763132,-0.02276519,-0.174701636,-0.035857796
Q6Z5K5,0.011289663,0.049971217,-0.017778968,0.01707366
Q7EZL1,-0.026106441,0.047731963,-0.009043682,0.001692194
Q6YYZ6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q6YUN4,0.019173698,-0.035229288,0.019276569,-0.000161019
Q6ZIF9,0.003503032,0.097078191,0.022460261,0.009855431
Q6YWF5,0.027563708,0.000289642,-0.004225444,0.023998268
Q75HQ5,0.018305501,0.052278639,-0.015523779,0.029383768
Q0DJT2,-0.00916291,-0.010317338,0.019329169,-0.017329177
Q6ZH87,-0.011367664,-0.108535541,0.001016555,-0.048996274
Q6ZGJ8,0.000257031,-0.001837351,-0.006580189,-0.020865064
B9F4A7,-0.002884077,0.020864187,0.015867174,0.010790727
Q6ZX06,-0.195703224,-0.195722699,-0.147441035,-0.095981488
Q6K9B0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q6K996,-0.008823773,0.024184,0.028449498,0.025909735
Q6K8R0,-0.051506255,0.041584002,0.028171856,-0.020956814
